Latitude,Longitude,Cluster
37.58033480299286,-121.24007627638896,0
37.604987406686945,-121.04002642594067,0
37.62629678407272,-121.26925266578527,0
37.559299460596876,-121.1540001909352,0
37.60419854688685,-121.19161930123128,0
37.5839204137073,-121.3438341730207,0
37.58862756073742,-121.20706725446603,0
37.62454916877249,-121.2154993317484,0
37.61853332798691,-121.25196874515335,0
37.576755667806005,-121.15274547848811,0
37.65757636690914,-121.24540366187414,0
37.58757112421474,-121.23269791858557,0
37.58298070796873,-121.31897369310778,0
37.58412149929366,-121.13749748217778,0
37.62089444594628,-121.32872147170568,0
37.55137619213832,-121.29850969868716,0
37.5303869323309,-121.36676969819769,0
37.6265218985108,-121.24413246483681,0
37.608084103430244,-121.06732794744372,0
37.568185235145926,-121.37049518848767,0
37.573690590098295,-121.32089390561903,0
37.600068335096026,-121.16612385458455,0
37.619953266025014,-121.12013775268612,0
37.60441349226992,-121.25370443093658,0
37.553374507537086,-121.21531861874846,0
37.6212773690638,-121.12297512946664,0
37.642044276040444,-121.34558469565346,0
37.62031941895896,-121.28620551446924,0
37.62461589916572,-121.16622001781502,0
37.61748165539725,-121.23532685768869,0
37.566952702700114,-121.18140959919032,0
37.61627647830044,-121.26535243515119,0
37.60831036883451,-121.26955974137253,0
37.640299327756885,-121.27924490179825,0
37.6533119436237,-121.23557592407771,0
37.600023451254536,-121.22390154391026,0
37.599571711600724,-121.2797227530887,0
37.59388349044732,-121.22302899807161,0
37.5835793760502,-121.1980952285113,0
37.61964316470219,-121.17369584950471,0
37.641211262507284,-121.2105206257494,0
37.591148279059105,-121.25325617930399,0
37.614494979374875,-121.14394287785495,0
37.578408182386255,-121.20779504598362,0
37.596635821445616,-121.25237409394384,0
37.62050612034307,-121.26415892013426,0
37.60071708857624,-121.25358552780628,0
37.57325137198315,-121.27475200947232,0
37.58794883338343,-121.23592500175084,0
37.59239291348739,-121.1925336575755,0
37.57501416178741,-121.29601021301562,0
37.59619165043349,-121.1982478275756,0
37.59904122399356,-121.25271833019791,0
37.58279032763574,-121.29236001652471,0
37.599390156900036,-121.26041503187552,0
37.610747916508025,-121.16076319884768,0
37.601019673958966,-121.31779758370179,0
37.57733697407657,-121.27276217077043,0
37.63023094414732,-121.17327933248767,0
37.61409757766472,-121.21612358608401,0
37.613353026722464,-121.20629053544812,0
37.60832773893546,-121.31784515410988,0
37.61995590798209,-121.2867399852277,0
37.6477653865732,-121.20018961739537,0
37.562895000523575,-121.25433580897118,0
37.67076783890229,-121.19244584451194,0
37.59205433434859,-121.25405993808033,0
37.6254564100912,-121.16784065150891,0
37.59114256729827,-121.30500612576435,0
37.60268135671214,-121.24835268555762,0
37.59138672971419,-121.27263497164135,0
37.56066381105008,-121.1274145973513,0
37.56642513146388,-121.2818591440276,0
37.625701167965374,-121.21706021509155,0
37.61698381386179,-121.2360105084945,0
37.62003356970004,-121.2076654355894,0
37.609298413351496,-121.25505407785974,0
37.5560990800432,-121.22189578164615,0
37.60615283923535,-121.32929364383328,0
37.6270039082764,-121.25989677196839,0
37.580931998182095,-121.14059470992187,0
37.591090012970746,-121.11642000330666,0
